nome,ruolo,qualifica
Elisa Rosso,Presidente,Dirigente Direzione Ricerca Innovazione e Internazionalizzazione; responsabile a.i. dell'Area Innovazione e Progetti di Ateneo
Gianluca Catucci,Componente,Professore Associato SSD BIOS-07/A Dipartimento Scienze della Vita e Biologia dei Sistemi
Chiara Benente,Componente,Area delle Elevate Professionalita'; responsabile dell'Area Trasferimento Tecnologico e della Conoscenza e a.i. della Sezione Tutela e Valorizzazione della Proprieta' Intellettuale
Chiara Albanese,Segretaria,Area dei Collaboratori settore amministrativo Direzione Bilancio e Contratti
